,subjectkey,clip,dim,real_silh_avg_total,real_silh_sd_total,real_silh_avg_neu,real_silh_sd_neu,real_silh_avg_pos,real_silh_sd_pos,real_silh_avg_mix,real_silh_sd_mix,real_silh_avg_neg,real_silh_sd_neg,p_perm_total,p_perm_neu,p_perm_pos,p_perm_mix,p_perm_neg,avg_d_neu,avg_d_pos,avg_d_mix,avg_d_neg,med_d_neu,med_d_pos,med_d_mix,med_d_neg
0,sub-11,SP,7,0.9141488809379353,0.27219016421083125,0.8355299541907927,0.3774561999005407,0.7853192508886957,0.43399085955189554,0.9871602261660176,0.009568099862899892,0.988096708301687,0.004902973755083684,0.174,0.855,0.748,0.0,0.098,1.3265537442123065,1.0804364755448261,1.4803812091881003,1.086728290605036,1.3669343175066,1.094171347212469,1.5055074080712327,1.0878566363384399
0,sub-11,CI,7,0.9957066310397432,0.0032706940106103245,0.9949107248593115,0.0036141053289235063,,,0.9966273087019948,0.0014270290219043768,0.9993006105145464,0.0002326570605777964,0.0,0.0,,0.0,0.0,1.6357112146387256,,1.476402281704137,1.2825723774484348,1.6395380751451274,,1.4788535920103845,1.2777347882839274
0,sub-11,MO,7,0.9218449254677771,0.17149035473776578,0.6219329101448463,0.2231057424829027,0.9990549251606451,0.00029463055500879174,0.7869003329835064,0.2311798763379244,0.9971276707599066,0.001084233837990667,0.043,0.846,0.0,0.962,0.0,1.0035742253370368,1.5721698314083177,1.0445235703527025,1.3614264573539596,1.001331944684327,1.574581666018499,1.0397723349219865,1.3784032418311956
