,subjectkey,clip,dim,real_silh_avg_total,real_silh_sd_total,real_silh_avg_neu,real_silh_sd_neu,real_silh_avg_pos,real_silh_sd_pos,real_silh_avg_mix,real_silh_sd_mix,real_silh_avg_neg,real_silh_sd_neg,p_perm_total,p_perm_neu,p_perm_pos,p_perm_mix,p_perm_neg,avg_d_neu,avg_d_pos,avg_d_mix,avg_d_neg,med_d_neu,med_d_pos,med_d_mix,med_d_neg
0,sub-13,SP,7,0.9524995225757802,0.1984511101826077,0.9272730546628033,0.24148648528784522,0.9403102151715929,0.23662112579551253,0.9951219684761744,0.0018945367116744382,0.9957554911340781,0.001581475177959521,0.0,0.326,0.167,0.001,0.0,1.313550980702316,1.4214630784529947,1.2255485359663791,1.3099295318565778,1.3098009246665803,1.4376133164155123,1.22528674253555,1.3250444171588487
0,sub-13,CI,7,0.9567300112079702,0.2177060511994013,0.9968689186510792,0.001115992096344353,0.994787061765678,0.002018205304198364,0.7301267745972619,0.5221830931092338,,,0.015,0.0,0.0,0.937,,1.5003221633190407,1.5209671461749745,1.347422888959134,,1.5270067477636533,1.5492934024612453,1.4042667712841155,
0,sub-13,MO,7,0.9356514530403567,0.27110744277190546,0.3699209540470758,0.664829120139214,0.9917026643456093,0.023817670675622685,0.9981245782085321,0.0006590545126552959,0.9985247189605625,0.0005120209623121745,0.034,1.0,0.0,0.0,0.0,1.1702798257617757,1.3504824393792159,1.3128687243620603,1.338982520265165,1.2274683413226157,1.4273189048384571,1.3369653592989446,1.2929437436397706
