,subjectkey,clip,dim,real_silh_avg_total,real_silh_sd_total,real_silh_avg_neu,real_silh_sd_neu,real_silh_avg_pos,real_silh_sd_pos,real_silh_avg_mix,real_silh_sd_mix,real_silh_avg_neg,real_silh_sd_neg,p_perm_total,p_perm_neu,p_perm_pos,p_perm_mix,p_perm_neg,avg_d_neu,avg_d_pos,avg_d_mix,avg_d_neg,med_d_neu,med_d_pos,med_d_mix,med_d_neg
0,sub-39,SP,7,0.9367012884277712,0.2528883420866718,0.8192710209508893,0.4144602110873184,,,0.9961021519010925,0.0018483336544482675,0.927387827224532,0.27731721505030393,0.078,0.861,,0.0,0.26,1.437921214477639,,1.520966315685287,1.4333821218181004,1.483113793868053,,1.5571426001883966,1.451214721625869
0,sub-39,CI,7,0.9627566593275658,0.19773200748023884,0.9353403997035152,0.26142871287174624,,,0.9977894855015189,0.0006457249140047327,0.9982223840969333,0.0006636257446955495,0.004,0.412,,0.0,0.0,1.5653561165530854,,1.4453929681568607,1.4307956075267345,1.582099392796461,,1.4558200698097319,1.4476796977609312
0,sub-39,MO,7,0.8343597709624341,0.28878432978680596,0.6955775042227381,0.4309305985479868,0.9822218762082827,0.005867459685731368,0.901347841599473,0.05800147001867671,0.8681269595820349,0.24219524967833556,0.961,0.991,0.126,0.314,0.72,1.307987857432814,1.2363846856542076,1.2202731754055478,1.3738917185498236,1.377033702713223,1.2512871279794566,1.272322378141176,1.4026919676088319
