,subjectkey,clip,dim,real_silh_avg_total,real_silh_sd_total,real_silh_avg_neu,real_silh_sd_neu,real_silh_avg_pos,real_silh_sd_pos,real_silh_avg_mix,real_silh_sd_mix,real_silh_avg_neg,real_silh_sd_neg,p_perm_total,p_perm_neu,p_perm_pos,p_perm_mix,p_perm_neg,avg_d_neu,avg_d_pos,avg_d_mix,avg_d_neg,med_d_neu,med_d_pos,med_d_mix,med_d_neg
0,sub-02,SP,7,0.9159681508609797,0.27385571479350196,0.9045761525374737,0.20937964924810404,0.8492298469194977,0.33416645589680416,0.9213124986491975,0.29445558139728445,0.9950540343030199,0.0018123007253524,0.281,0.34,0.641,0.669,0.0,1.1786681141333908,1.3779191818243666,1.4363708484640918,1.1706557985141972,1.1830093364434953,1.4098030833207318,1.4666913884050372,1.157358419199908
0,sub-02,CI,7,0.9062322246074463,0.31795524781992435,0.6792655310282194,0.5529731535517345,0.9954069844355463,0.0014696132002421742,0.933899652334375,0.2546841267923351,0.9936191343824297,0.004277260758867142,0.151,0.998,0.0,0.215,0.003,1.3732854925267253,1.3362607354459366,1.2824009471880473,1.202207453507788,1.4297168573525012,1.3484162752881812,1.28919545849171,1.2326455781097754
0,sub-02,MO,7,0.9370180377813333,0.26539290133189325,0.9374336300950261,0.2655965552306985,0.9921316200005217,0.003153110868333202,0.8917268058840216,0.35233120868534823,0.9489202590261395,0.2425392809368234,0.0,0.189,0.006,0.561,0.108,1.3085622699597168,1.3057764048997178,1.3247374712193463,1.3463867869842836,1.3346311929792167,1.3073445868754503,1.3330682124503626,1.3544583568499053
