,subjectkey,clip,dim,real_silh_avg_total,real_silh_sd_total,real_silh_avg_neu,real_silh_sd_neu,real_silh_avg_pos,real_silh_sd_pos,real_silh_avg_mix,real_silh_sd_mix,real_silh_avg_neg,real_silh_sd_neg,p_perm_total,p_perm_neu,p_perm_pos,p_perm_mix,p_perm_neg,avg_d_neu,avg_d_pos,avg_d_mix,avg_d_neg,med_d_neu,med_d_pos,med_d_mix,med_d_neg
0,sub-01,SP,7,0.9501700912439789,0.22202612236031063,0.8880160282163382,0.3304245988672709,0.9973096151892551,0.0011044965072904366,0.9963331887590574,0.001172068584623022,0.9987423313847797,0.0007093603954168413,0.0,0.704,0.0,0.0,0.0,1.4029442732298196,1.2593128774757891,1.3609963011929997,1.1644789314063486,1.4273307989974564,1.2725747464495736,1.3708256941452863,1.1649120971565352
0,sub-01,CI,7,0.8861039264393101,0.32246447832658376,0.7643578836645241,0.4395099347618955,0.9941949020632052,0.002337181756578636,0.9169786039367425,0.2851131580091713,0.9962219196070494,0.0023516905279396807,0.573,1.0,0.001,0.348,0.0,1.2822383991737119,1.3095780330785292,1.3729817014321934,1.2772993838740705,1.3042242758169946,1.3522822344627121,1.3895227490723359,1.2748066667999527
0,sub-01,MO,7,0.9465919596245304,0.15964307332416483,0.9369287984097288,0.16659972986107296,0.9870145954500762,0.005548843270429078,0.9086163612457968,0.22499585410950568,0.9931366364711539,0.0022883999431766856,0.004,0.326,0.269,0.321,0.004,1.3596174521553064,1.133073533971854,1.2004925937937783,1.4713066192761601,1.3727011516541847,1.123809337467595,1.2117574778589073,1.4810165596605476
