,subjectkey,clip,dim,real_silh_avg_total,real_silh_sd_total,real_silh_avg_neu,real_silh_sd_neu,real_silh_avg_pos,real_silh_sd_pos,real_silh_avg_mix,real_silh_sd_mix,real_silh_avg_neg,real_silh_sd_neg,p_perm_total,p_perm_neu,p_perm_pos,p_perm_mix,p_perm_neg,avg_d_neu,avg_d_pos,avg_d_mix,avg_d_neg,med_d_neu,med_d_pos,med_d_mix,med_d_neg
0,sub-18,SP,7,0.9613347629659289,0.2254522371088116,0.9987153055041995,0.0007180509255570082,,,0.6983819809725778,0.5840974122008618,,,0.639,0.0,,0.947,,1.7933926539172549,,1.793392653917255,,1.9999249397664456,,1.9999249397664456,
0,sub-18,CI,7,0.9600005927206883,0.2276400593598967,0.2147883362890356,0.7524683487057802,,,0.9960294744126706,0.0018749362360705696,0.9972650215252675,0.001260437509264381,0.053,0.999,,0.001,0.0,1.187076246231731,,1.3063694410129127,1.7162972265455954,1.2596134668683958,,1.384376697954604,1.7185847615706364
0,sub-18,MO,7,0.9407387960432407,0.27372853074140285,-0.7261811104586492,0.2486641856290722,,,0.9977229079081283,0.0006474871292889141,0.9798334325769201,0.01159296817702485,0.192,1.0,,0.0,0.025,0.9710604128217716,,1.7809978910622744,1.1340194864834412,0.9602621366887913,,1.9279372296257546,0.9817058366051561
