,subjectkey,clip,dim,real_silh_avg_total,real_silh_sd_total,real_silh_avg_neu,real_silh_sd_neu,real_silh_avg_pos,real_silh_sd_pos,real_silh_avg_mix,real_silh_sd_mix,real_silh_avg_neg,real_silh_sd_neg,p_perm_total,p_perm_neu,p_perm_pos,p_perm_mix,p_perm_neg,avg_d_neu,avg_d_pos,avg_d_mix,avg_d_neg,med_d_neu,med_d_pos,med_d_mix,med_d_neg
0,sub-05,SP,7,0.93132081288715,0.2754747459331586,0.5154986360364536,0.6320571511564929,0.9692665630897382,0.15860837737054576,0.9977047073312656,0.0007045504974979038,0.9985633776220475,0.0006175030302878325,0.032,0.998,0.041,0.0,0.0,1.1790766519630573,1.354767518501289,1.3797318759473198,1.2855168116840943,1.2072125847884425,1.416039985354989,1.3559325516513276,1.296230093975981
0,sub-05,CI,7,0.9084752643033986,0.3134317962582386,0.882044104941731,0.35143926821945193,,,0.9219221983873169,0.307316804598935,0.9411631565933878,0.24399898348027282,0.449,0.894,,0.324,0.191,1.5172548203509946,,1.3951508682578027,1.447249175990275,1.5635474623969583,,1.4396844565818727,1.4861242671248727
0,sub-05,MO,7,0.9135990870329515,0.2950411143678753,0.7424704035685614,0.47738285099367705,0.9981991887520604,0.0003754591399277982,0.9031507702727719,0.31216558802741706,0.9969748768764061,0.0012175161557217021,0.125,0.963,0.0,0.526,0.0,1.254774070251979,1.191227842382179,1.3977070069554254,1.325701212373352,1.3096366975534248,1.2129989827464602,1.4166283198786473,1.3427406465469378
