,subjectkey,clip,dim,real_silh_avg_total,real_silh_sd_total,real_silh_avg_neu,real_silh_sd_neu,real_silh_avg_pos,real_silh_sd_pos,real_silh_avg_mix,real_silh_sd_mix,real_silh_avg_neg,real_silh_sd_neg,p_perm_total,p_perm_neu,p_perm_pos,p_perm_mix,p_perm_neg,avg_d_neu,avg_d_pos,avg_d_mix,avg_d_neg,med_d_neu,med_d_pos,med_d_mix,med_d_neg
0,sub-35,SP,7,0.967846838450584,0.18290307507639997,0.9177702807346747,0.3041646688345896,,,0.9926977223488634,0.02857991584924476,0.9980605458575208,0.001832384020235114,0.0,0.374,,0.0,0.0,1.5215522480427945,,1.4497545203965478,1.4690633665479464,1.547737711679592,,1.4731201241750491,1.4745074773516362
0,sub-35,CI,7,0.15570657398074036,0.8089071011382202,0.43600614171371127,0.14234431900833872,,,0.9629313636408384,0.19026877772320724,-0.6403072148341127,0.08822922676822714,1.0,0.878,,0.043,1.0,1.0055448219022243,,1.9452464111381267,0.9911389215106226,0.9973369194429675,,1.994006577384066,0.9977427890441384
0,sub-35,MO,7,-0.4146533697590635,0.7655662190086585,0.8119188153949004,0.09107565122708132,0.9993328043326866,0.0002674099430243711,-0.8268289879319056,0.10485650460563307,,,1.0,0.862,0.0,1.0,,1.013114953199377,1.9671809403021787,0.9960246403077644,,0.9942405970270378,1.9867029080309444,0.9937184783759274,
