,subjectkey,clip,dim,real_silh_avg_total,real_silh_sd_total,real_silh_avg_neu,real_silh_sd_neu,real_silh_avg_pos,real_silh_sd_pos,real_silh_avg_mix,real_silh_sd_mix,real_silh_avg_neg,real_silh_sd_neg,p_perm_total,p_perm_neu,p_perm_pos,p_perm_mix,p_perm_neg,avg_d_neu,avg_d_pos,avg_d_mix,avg_d_neg,med_d_neu,med_d_pos,med_d_mix,med_d_neg
0,sub-34,SP,7,0.9973682304142715,0.002006590946870441,0.9972470905490665,0.002038941813338239,,,0.9991614591469803,0.00033844387438170415,0.9974434903620008,0.0018049940139594353,0.0,0.0,,0.0,0.002,1.7613382638126303,,1.2952348223752908,1.2994395250582045,1.765413909403381,,1.2867434546902965,1.3042228263473923
0,sub-34,CI,7,0.9126517855929686,0.3012557653314361,0.7726607586569235,0.4628564830271552,0.9983200105365019,0.00022490201524323248,0.9945758012573543,0.0018355348030786426,0.9976211016779161,0.0009272490834898371,0.059,0.973,0.0,0.0,0.0,1.1487944992709884,1.011613413569625,1.1773454594475046,1.6514307720712955,1.1603929531039894,1.0063143486331367,1.1867043460202573,1.6587266866095458
0,sub-34,MO,7,0.9953390511687117,0.003807460459731934,0.9956745874799433,0.001663068164553947,,,0.9982039871425621,0.0009103938895528905,0.9938537578281044,0.00550677148032201,0.0,0.0,,0.0,0.0,1.6009755132989758,,1.3719302790287538,1.4818328106559138,1.604042731560019,,1.363847423942698,1.490301100009955
