,subjectkey,clip,dim,real_silh_avg_total,real_silh_sd_total,real_silh_avg_neu,real_silh_sd_neu,real_silh_avg_pos,real_silh_sd_pos,real_silh_avg_mix,real_silh_sd_mix,real_silh_avg_neg,real_silh_sd_neg,p_perm_total,p_perm_neu,p_perm_pos,p_perm_mix,p_perm_neg,avg_d_neu,avg_d_pos,avg_d_mix,avg_d_neg,med_d_neu,med_d_pos,med_d_mix,med_d_neg
0,sub-42,SP,7,0.9201870457309116,0.2980027643586419,0.6827386738465904,0.5705204065032691,,,0.9374508729175984,0.24953811758504588,0.9976813019294976,0.0011179261242263813,0.222,0.98,,0.341,0.0,1.3238102006892651,,1.4725310304045651,1.535218458512025,1.3869372064075667,,1.539836366846443,1.547057719589405
0,sub-42,CI,7,0.9433478647519528,0.27480422375621183,-0.705401299306398,0.40338629312465046,,,0.9753494474805964,0.010366176290275284,0.9978121458134852,0.001531180623419219,0.017,1.0,,0.012,0.0,1.014697597702753,,1.1021209582871667,1.865042724748334,0.9808345048161042,,0.9828580473000731,1.9554232996097096
0,sub-42,MO,7,0.9367953811265675,0.2641499298068215,0.6445646275838429,0.6102592641971296,,,0.9697449661648486,0.13121330070424295,0.994106729742283,0.0017999265526910863,0.03,0.987,,0.035,0.0,1.3473655349380935,,1.4531235545331884,1.5349776261134338,1.4120617114853862,,1.5273013826265156,1.5440868586661582
