,subjectkey,clip,dim,real_silh_avg_total,real_silh_sd_total,real_silh_avg_neu,real_silh_sd_neu,real_silh_avg_pos,real_silh_sd_pos,real_silh_avg_mix,real_silh_sd_mix,real_silh_avg_neg,real_silh_sd_neg,p_perm_total,p_perm_neu,p_perm_pos,p_perm_mix,p_perm_neg,avg_d_neu,avg_d_pos,avg_d_mix,avg_d_neg,med_d_neu,med_d_pos,med_d_mix,med_d_neg
0,sub-30,SP,7,0.9558363067964494,0.19183954730519892,0.9212717225830617,0.264948929152576,0.9920891185452724,0.0026846242665927557,0.990543203588638,0.003218729462658592,0.9946300976287752,0.0012690984125408797,0.002,0.516,0.002,0.018,0.001,1.5986526933456389,1.2024718169258528,1.1875637100144225,1.029266317443288,1.6257394224149928,1.2042555267038855,1.1986510482137762,1.042169250238245
0,sub-30,CI,7,0.9537717292997532,0.2009669858385564,0.966575167912791,0.15557231971452917,0.8408731311214702,0.37977096408953726,0.9983440491613336,0.0004975569625279056,0.9962832885631537,0.001351877874422142,0.0,0.019,0.659,0.0,0.0,1.4250450063584117,1.2454222713324357,1.186001706069332,1.3512611749896857,1.4281220876523903,1.2626014773678391,1.1934689025449188,1.3691042169108671
0,sub-30,MO,7,0.9150188449917276,0.3139304545421449,0.027412270174256684,0.6655365142720018,0.9735011422138482,0.1338076298715945,0.9983364046642651,0.0005429365484679739,0.9977376635799632,0.0009308136702825616,0.498,1.0,0.068,0.0,0.0,1.1129987448410128,1.4116468491424647,1.2324494215554844,1.3257860062396254,1.134435324800255,1.550211686865002,1.1708339025251002,1.2781091674810767
