,subjectkey,clip,dim,real_silh_avg_total,real_silh_sd_total,real_silh_avg_neu,real_silh_sd_neu,real_silh_avg_pos,real_silh_sd_pos,real_silh_avg_mix,real_silh_sd_mix,real_silh_avg_neg,real_silh_sd_neg,p_perm_total,p_perm_neu,p_perm_pos,p_perm_mix,p_perm_neg,avg_d_neu,avg_d_pos,avg_d_mix,avg_d_neg,med_d_neu,med_d_pos,med_d_mix,med_d_neg
0,sub-31,SP,7,0.9316379684747332,0.25584411189190026,0.8953300159093277,0.3059312890918723,0.9975624658399174,0.000922748449582605,0.8893971990112697,0.33667159845745903,,,0.018,0.602,0.0,0.474,,1.5004439988592488,1.4590055003574536,1.4294550473311347,,1.532940829999263,1.4976369639113993,1.4631479274013728,
0,sub-31,CI,7,0.9475721247025308,0.2198661526699703,0.8934004679847897,0.3316342343773652,0.8898037348160253,0.2828699725091219,0.9973002759342414,0.0009225167057795362,0.9972300239274502,0.0007474014541568638,0.0,0.514,0.48,0.0,0.0,1.3624584222589442,1.3022634146364878,1.3259893510034573,1.2739049079066176,1.369279703048944,1.3275078711277735,1.342592202652476,1.2845404800486537
0,sub-31,MO,7,0.9010727079176977,0.3208783604277063,0.3712193992811951,0.7045076582093674,0.922049666124333,0.21985209141370873,0.9924197492786401,0.0027896015634847437,0.9937358858641556,0.002300718242668175,0.299,1.0,0.343,0.0,0.0,1.177594700609861,1.261124023256494,1.3231352389399613,1.394482190070983,1.2494208792296098,1.3268636762368422,1.3191899838075718,1.4094956637244387
