ref_clip,target_clip,sub,dim,test_acc_random,test_f1_random,test_acc_not_align,test_f1_not_align,test_acc_align,test_f1_align
SP,CI,sub-01,1,0.4034334763948498,0.231943405389088,0.2918454935622318,0.13186374459954658,0.2918454935622318,0.13186374459954658
SP,CI,sub-02,1,0.27467811158798283,0.20852538019919994,0.3261802575107296,0.22718280805678281,0.3261802575107296,0.22718280805678281
SP,CI,sub-19,1,0.2017167381974249,0.14098393519404426,0.26609442060085836,0.17639000024247714,0.21030042918454936,0.14939931851475452
SP,CI,sub-25,1,0.34334763948497854,0.175513170343759,0.26609442060085836,0.11184985815086927,0.26609442060085836,0.11184985815086927
SP,CI,sub-30,1,0.4721030042918455,0.30280659167407,0.1888412017167382,0.08273957801854796,0.1888412017167382,0.08273957801854796
SP,CI,sub-43,1,0.4334763948497854,0.26216237053789415,0.40772532188841204,0.3263093355706863,0.40772532188841204,0.3263093355706863
SP,MO,sub-01,1,0.4721030042918455,0.30280659167407,0.06866952789699571,0.008824999569091817,0.06866952789699571,0.008824999569091817
SP,MO,sub-02,1,0.22746781115879827,0.15774294870482702,0.2446351931330472,0.16071196328707057,0.2875536480686695,0.19167949188278982
SP,MO,sub-19,1,0.44206008583690987,0.3614156458818794,0.16738197424892703,0.08144444006947452,0.16738197424892703,0.08144444006947452
SP,MO,sub-25,1,0.02575107296137339,0.001292940901826279,0.3776824034334764,0.2070782025055821,0.3776824034334764,0.2070782025055821
SP,MO,sub-30,1,0.06866952789699571,0.008824999569091817,0.5407725321888412,0.5122743520454536,0.18454935622317598,0.1962117773072244
SP,MO,sub-43,1,0.6781115879828327,0.5480390327431589,0.43776824034334766,0.42501015316475704,0.30472103004291845,0.36605767802559475
CI,SP,sub-01,1,0.4291845493562232,0.25776849811184577,0.1630901287553648,0.1308918199632709,0.45064377682403434,0.33875980464703276
CI,SP,sub-02,1,0.2145922746781116,0.12194024919771018,0.1759656652360515,0.05266125747940228,0.1759656652360515,0.05266125747940228
CI,SP,sub-19,1,0.2317596566523605,0.08721269309566179,0.34763948497854075,0.24703796377616125,0.24034334763948498,0.1712552981633034
CI,SP,sub-25,1,0.4291845493562232,0.3381485223053709,0.33905579399141633,0.17170133157257622,0.33905579399141633,0.17170133157257622
CI,SP,sub-30,1,0.5107296137339056,0.34532286383144756,0.4034334763948498,0.3471311481141192,0.4034334763948498,0.3471311481141192
CI,SP,sub-43,1,0.15021459227467812,0.08628197232433264,0.15879828326180256,0.08926520604941388,0.15879828326180256,0.08926520604941388
CI,MO,sub-01,1,0.4721030042918455,0.30280659167407,0.14163090128755365,0.1344091129917572,0.39914163090128757,0.29731902859603826
CI,MO,sub-02,1,0.22746781115879827,0.15774294870482702,0.19742489270386265,0.06510068146507299,0.19742489270386265,0.06510068146507299
CI,MO,sub-19,1,0.2017167381974249,0.06771919068056406,0.21888412017167383,0.13059125435903932,0.21888412017167383,0.13059125435903932
CI,MO,sub-25,1,0.11587982832618025,0.1089064704285171,0.3776824034334764,0.2070782025055821,0.3776824034334764,0.2070782025055821
