ref_sub,target_sub,clip,dim,test_acc_random,test_f1_random,test_acc_not_align,test_f1_not_align,test_acc_align,test_f1_align
sub-01,sub-02,SP,1,0.12875536480686695,0.029373847484456338,0.2446351931330472,0.19695214979306316,0.12875536480686695,0.029373847484456338
sub-01,sub-02,CI,1,0.2145922746781116,0.07582765889685923,0.3261802575107296,0.2066184498534043,0.2532188841201717,0.1770441975407681
sub-01,sub-02,MO,1,0.2575107296137339,0.15573089823624542,0.27467811158798283,0.1547034065227758,0.21888412017167383,0.07861331076588285
sub-01,sub-19,SP,1,0.2446351931330472,0.09616693799023235,0.33905579399141633,0.24597596894729282,0.2446351931330472,0.09616693799023235
sub-01,sub-19,CI,1,0.13304721030042918,0.03124593575237352,0.31759656652360513,0.19240436543055933,0.2145922746781116,0.15030289347166118
sub-01,sub-19,MO,1,0.0815450643776824,0.029146895069641847,0.2145922746781116,0.09279366127434797,0.0944206008583691,0.016292182108895062
sub-01,sub-25,SP,1,0.39914163090128757,0.22773111456331133,0.30042918454935624,0.20543398121122397,0.39914163090128757,0.22773111456331133
sub-01,sub-25,CI,1,0.34334763948497854,0.175513170343759,0.3261802575107296,0.2477007970570202,0.27896995708154504,0.21352145152985733
sub-01,sub-25,MO,1,0.19313304721030042,0.17376076766200957,0.23605150214592274,0.18773255906153183,0.02575107296137339,0.001292940901826279
sub-01,sub-30,SP,1,0.5107296137339056,0.34532286383144756,0.21888412017167383,0.12775116250807522,0.5107296137339056,0.34532286383144756
sub-01,sub-30,CI,1,0.4721030042918455,0.30280659167407,0.2145922746781116,0.12905023218263884,0.33047210300429186,0.27684449612624695
sub-01,sub-30,MO,1,0.06866952789699571,0.015317263114868716,0.060085836909871244,0.013594664486004724,0.06866952789699571,0.008824999569091817
sub-01,sub-43,SP,1,0.13304721030042918,0.03124593575237352,0.19742489270386265,0.12774188230489525,0.13304721030042918,0.03124593575237352
sub-01,sub-43,CI,1,0.2317596566523605,0.08721269309566179,0.12875536480686695,0.06809643905347634,0.18454935622317598,0.09819987300421536
sub-01,sub-43,MO,1,0.12017167381974249,0.04259761036723518,0.09012875536480687,0.03438886284127385,0.1459227467811159,0.037163845622156855
sub-02,sub-01,SP,1,0.3261802575107296,0.16045112990819063,0.3261802575107296,0.16045112990819063,0.3261802575107296,0.16045112990819063
sub-02,sub-01,CI,1,0.2145922746781116,0.12500794786202513,0.2918454935622318,0.13186374459954658,0.26180257510729615,0.17367883876341333
sub-02,sub-01,MO,1,0.2017167381974249,0.09742129296005576,0.0944206008583691,0.04830029293548607,0.2317596566523605,0.08721269309566179
sub-02,sub-19,SP,1,0.2317596566523605,0.08721269309566179,0.2317596566523605,0.08721269309566179,0.2317596566523605,0.08721269309566179
sub-02,sub-19,CI,1,0.41201716738197425,0.3105660670792123,0.34334763948497854,0.175513170343759,0.3905579399141631,0.33650625425911285
sub-02,sub-19,MO,1,0.45493562231759654,0.3412167024622368,0.24892703862660945,0.16781501118619305,0.2017167381974249,0.06771919068056406
sub-02,sub-25,SP,1,0.18025751072961374,0.05506047600468201,0.18025751072961374,0.05506047600468201,0.18025751072961374,0.05506047600468201
sub-02,sub-25,CI,1,0.15021459227467812,0.08869929364313425,0.26609442060085836,0.11184985815086927,0.18454935622317598,0.11443286327406502
sub-02,sub-25,MO,1,0.27467811158798283,0.20820065531404308,0.296137339055794,0.22137249959186492,0.4034334763948498,0.231943405389088
sub-02,sub-30,SP,1,0.16738197424892703,0.047999242615501134,0.16738197424892703,0.047999242615501134,0.16738197424892703,0.047999242615501134
sub-02,sub-30,CI,1,0.09012875536480687,0.031241706855056412,0.18454935622317598,0.057504509547801216,0.1459227467811159,0.06646569607577563
sub-02,sub-30,MO,1,0.40772532188841204,0.40678111587982835,0.463519313304721,0.454370572134443,0.060085836909871244,0.006811349933102812
sub-02,sub-43,SP,1,0.2832618025751073,0.1250520332438601,0.2832618025751073,0.1250520332438601,0.2832618025751073,0.1250520332438601
sub-02,sub-43,CI,1,0.22317596566523606,0.1051062632815367,0.08583690987124463,0.013571052944070298,0.15879828326180256,0.08703533095147144
sub-02,sub-43,MO,1,0.4978540772532189,0.4785681964650551,0.2918454935622318,0.32307078952836316,0.06437768240343347,0.007787622871383081
sub-19,sub-01,SP,1,0.18454935622317598,0.057504509547801216,0.18454935622317598,0.09064083541601207,0.31759656652360513,0.2719465926132753
sub-19,sub-01,CI,1,0.2017167381974249,0.06771919068056406,0.27896995708154504,0.1645700754772828,0.2317596566523605,0.15835429924522718
sub-19,sub-01,MO,1,0.22746781115879827,0.08430625168822593,0.0944206008583691,0.04830029293548607,0.15450643776824036,0.08691152551748964
sub-19,sub-02,SP,1,0.1759656652360515,0.05266125747940228,0.18454935622317598,0.08188051479315578,0.3562231759656652,0.3423659939731532
sub-19,sub-02,CI,1,0.34334763948497854,0.175513170343759,0.3090128755364807,0.19009103183383358,0.33047210300429186,0.26353886151064293
sub-19,sub-02,MO,1,0.2703862660944206,0.11509685651316555,0.21888412017167383,0.12316301061924564,0.22746781115879827,0.14504830110379985
sub-19,sub-25,SP,1,0.33905579399141633,0.17170133157257622,0.4248927038626609,0.3583630123514688,0.2703862660944206,0.21000142210683304
sub-19,sub-25,CI,1,0.08583690987124463,0.013571052944070298,0.2017167381974249,0.11688747900727746,0.18454935622317598,0.11443286327406502
sub-19,sub-25,MO,1,0.19313304721030042,0.06252508722635625,0.296137339055794,0.22137249959186492,0.27467811158798283,0.2077882060714679
sub-19,sub-30,SP,1,0.2532188841201717,0.10232817919924746,0.33047210300429186,0.28929201933068843,0.33047210300429186,0.2907295446776627
sub-19,sub-30,CI,1,0.0944206008583691,0.016292182108895062,0.1888412017167382,0.07500807127603172,0.1459227467811159,0.06646569607577563
sub-19,sub-30,MO,1,0.20600858369098712,0.07038015670581767,0.463519313304721,0.454370572134443,0.51931330472103,0.5109830292684806
sub-19,sub-43,SP,1,0.14163090128755365,0.035141501823227596,0.15021459227467812,0.06554479485892979,0.21030042918454936,0.12874330906109852
sub-19,sub-43,CI,1,0.24892703862660945,0.09922864769995429,0.11158798283261803,0.050037131242247464,0.1759656652360515,0.10484289331530948
sub-19,sub-43,MO,1,0.6781115879828327,0.5480390327431589,0.2918454935622318,0.32307078952836316,0.38626609442060084,0.4088941916784737
sub-25,sub-01,SP,1,0.4291845493562232,0.25776849811184577,0.16738197424892703,0.05821647277200792,0.3133047210300429,0.2638054363376251
sub-25,sub-01,CI,1,0.3648068669527897,0.24141257047150486,0.38626609442060084,0.2815492736983368,0.3261802575107296,0.26913172664245627
sub-25,sub-01,MO,1,0.06866952789699571,0.008824999569091817,0.2575107296137339,0.1554012663728646,0.24892703862660945,0.15680403977645288
sub-25,sub-02,SP,1,0.12875536480686695,0.029373847484456338,0.17167381974248927,0.07099977973905436,0.12875536480686695,0.05829756795422031
sub-25,sub-02,CI,1,0.1888412017167382,0.08445431784320387,0.21030042918454936,0.12329957393490225,0.2832618025751073,0.19910637276104426
sub-25,sub-02,MO,1,0.19742489270386265,0.06510068146507299,0.27896995708154504,0.1807509523423125,0.34334763948497854,0.25149799921212496
sub-25,sub-19,SP,1,0.2446351931330472,0.09616693799023235,0.30472103004291845,0.20884836740821483,0.2875536480686695,0.22035801237228633
sub-25,sub-19,CI,1,0.12446351931330472,0.04291092538212484,0.15879828326180256,0.10021446245479022,0.2145922746781116,0.15030289347166118
sub-25,sub-19,MO,1,0.22746781115879827,0.08430625168822593,0.4334763948497854,0.313085673245319,0.37339055793991416,0.31102818547856953
sub-25,sub-30,SP,1,0.5107296137339056,0.34532286383144756,0.20600858369098712,0.10595222612389996,0.36909871244635195,0.33166552552780665
sub-25,sub-30,CI,1,0.4592274678111588,0.33848908268570627,0.44206008583690987,0.31251615240358815,0.3261802575107296,0.2809353816533633
